Toronto,Washington,time_rem
12-13,6-16,48M 0S
0,0,47M 33S
0,2,47M 18S
2,2,47M 7S
2,4,46M 57S
4,4,46M 43S
5,4,46M 15S
6,4,46M 15S
6,7,45M 47S
8,7,45M 26S
10,7,45M 1S
13,7,44M 34S
13,9,44M 22S
15,9,44M 6S
15,10,43M 56S
15,11,43M 56S
17,11,43M 17S
20,11,42M 39S
20,13,42M 25S
22,13,42M 7S
23,13,42M 7S
23,15,41M 51S
23,17,41M 26S
25,17,40M 57S
25,19,40M 37S
25,21,40M 25S
28,21,39M 43S
28,23,39M 20S
30,23,39M 8S
33,23,38M 14S
33,25,37M 50S
34,25,37M 44S
34,26,37M 34S
35,26,37M 22S
35,27,36M 39S
35,28,36M 39S
38,28,36M 33S
40,28,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
40,30,35M 41S
Jump ball: D. Bembry vs. D. Bertāns (K. Lowry gains possession),NA,35M 39S
42,30,35M 8S
42,32,34M 51S
45,32,34M 39S
45,34,34M 17S
47,34,33M 57S
47,36,32M 48S
50,36,31M 42S
50,38,31M 26S
50,40,31M 7S
50,43,30M 5S
50,46,29M 37S
52,46,29M 22S
53,46,29M 22S
55,46,29M 1S
56,46,28M 31S
57,46,28M 31S
57,47,28M 16S
59,47,27M 46S
59,50,27M 38S
61,50,27M 15S
61,53,26M 59S
63,53,26M 41S
63,56,26M 6S
65,56,25M 48S
67,56,25M 37S
Jump ball: A. Baynes vs. D. Bertāns (P. Siakam gains possession),NA,25M 10S
69,56,25M 1S
71,56,24M 37S
71,57,24M 32S
71,58,24M 32S
74,58,24M 10S
74,61,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
75,61,23M 39S
76,61,23M 39S
76,63,23M 9S
76,64,22M 42S
76,65,22M 42S
79,65,22M 34S
79,67,21M 38S
79,70,21M 19S
82,70,20M 47S
82,72,20M 25S
84,72,20M 10S
84,74,19M 47S
87,74,19M 9S
87,76,18M 20S
89,76,18M 4S
89,78,17M 18S
89,79,17M 18S
92,79,17M 1S
92,80,16M 52S
92,81,16M 52S
92,83,15M 53S
92,86,15M 27S
94,86,14M 23S
94,87,14M 10S
96,87,13M 51S
96,89,13M 12S
97,89,13M 8S
100,89,12M 57S
103,89,12M 32S
103,91,12M 27S
103,92,12M 1S
103,93,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
103,95,11M 31S
104,95,11M 19S
105,95,11M 19S
106,95,11M 19S
108,95,10M 52S
108,98,10M 35S
108,100,9M 41S
108,103,8M 59S
111,103,8M 40S
111,106,8M 27S
112,106,8M 16S
113,106,8M 16S
116,106,7M 21S
116,108,6M 43S
118,108,5M 40S
118,110,5M 24S
119,110,5M 5S
121,110,4M 21S
122,110,3M 28S
123,110,3M 28S
124,110,3M 28S
126,110,3M 12S
129,110,2M 42S
132,110,2M 19S
132,111,2M 7S
132,112,2M 7S
134,112,1M 55S
134,113,1M 39S
137,113,1M 25S
137,115,0S
End of 4th quarter,NA,0S
