Utah,Atlanta,time_rem
17-5,10-12,48M 0S
0,0,47M 44S
0,2,47M 4S
2,2,46M 50S
4,2,46M 23S
5,2,45M 54S
6,2,45M 23S
7,2,45M 23S
10,2,44M 52S
12,2,44M 17S
12,4,43M 57S
14,4,43M 33S
14,6,41M 51S
17,6,41M 26S
17,9,41M 6S
17,11,40M 43S
19,11,40M 3S
20,11,39M 8S
20,13,37M 38S
20,14,37M 38S
20,15,36M 10S
20,16,36M 10S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
20,18,35M 17S
22,18,34M 28S
22,21,33M 21S
24,21,32M 38S
26,21,31M 52S
29,21,31M 27S
29,23,30M 41S
31,23,30M 8S
33,23,28M 59S
33,25,28M 41S
36,25,28M 26S
36,27,28M 14S
38,27,27M 26S
38,29,26M 54S
40,29,26M 22S
40,32,25M 49S
42,32,24M 56S
42,35,24M 44S
45,35,24M 25S
45,37,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
45,38,23M 15S
45,39,23M 15S
48,39,23M 4S
50,39,22M 29S
50,40,21M 56S
50,41,21M 56S
52,41,21M 43S
55,41,20M 36S
55,43,19M 58S
57,43,19M 22S
57,45,19M 6S
59,45,18M 54S
59,47,18M 43S
61,47,18M 18S
63,47,17M 51S
63,49,17M 36S
65,49,16M 53S
66,49,16M 53S
66,51,16M 24S
68,51,16M 8S
68,53,15M 14S
68,54,15M 14S
68,56,14M 20S
71,56,14M 3S
72,56,13M 37S
73,56,13M 37S
73,57,13M 29S
73,58,13M 29S
75,58,13M 14S
77,58,12M 45S
77,59,12M 30S
77,60,12M 30S
80,60,12M 16S
80,63,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,63,11M 45S
82,66,11M 21S
84,66,10M 13S
Jump ball: G. Niang vs. D. Gallinari (J. Clarkson gains possession),NA,9M 54S
84,69,9M 29S
87,69,9M 8S
89,69,8M 37S
89,71,8M 23S
91,71,8M 8S
91,74,7M 56S
93,74,7M 0S
95,74,6M 35S
96,74,5M 28S
97,74,5M 28S
100,74,5M 1S
100,76,4M 29S
102,76,4M 16S
102,79,4M 0S
104,79,3M 46S
104,81,3M 32S
105,81,3M 10S
106,81,3M 10S
106,82,2M 53S
109,82,2M 38S
109,84,2M 25S
109,85,2M 25S
112,85,2M 10S
112,87,1M 47S
112,88,1M 15S
112,89,1M 15S
112,90,47S
112,91,47S
End of 4th quarter,NA,0S
