Utah,Dallas,time_rem
38-12,28-21,48M 0S
2,0,47M 54S
5,0,46M 16S
5,2,46M 3S
Jump ball: M. Kleber vs. R. Gobert (D. Finney,Smith gains possession),45M 16S
5,5,45M 8S
7,5,44M 55S
7,8,44M 10S
9,8,43M 54S
9,10,42M 35S
11,10,41M 59S
13,10,41M 28S
13,12,41M 8S
15,12,40M 28S
15,14,39M 45S
15,16,39M 24S
15,19,38M 41S
17,19,38M 28S
17,22,38M 9S
20,22,37M 52S
20,25,37M 33S
20,27,37M 6S
22,27,36M 51S
25,27,36M 16S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,29,35M 47S
27,29,35M 35S
27,32,35M 23S
28,32,35M 2S
29,32,35M 2S
29,35,34M 48S
32,35,34M 12S
32,38,32M 46S
32,40,31M 50S
34,40,31M 34S
34,42,30M 37S
36,42,30M 9S
36,45,29M 41S
38,45,27M 41S
38,47,27M 1S
38,48,27M 1S
40,48,26M 46S
42,48,26M 0S
42,50,25M 44S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
43,50,23M 5S
44,50,23M 5S
44,53,22M 51S
44,55,22M 25S
46,55,22M 13S
48,55,21M 6S
50,55,20M 35S
50,57,20M 14S
51,57,19M 57S
52,57,19M 57S
52,60,19M 44S
55,60,19M 25S
56,60,18M 40S
56,63,17M 55S
58,63,16M 59S
58,66,16M 25S
58,68,15M 35S
60,68,15M 10S
60,69,14M 33S
60,70,14M 33S
60,73,14M 7S
63,73,13M 51S
63,76,13M 34S
63,78,13M 7S
63,79,13M 7S
64,79,12M 51S
65,79,12M 51S
66,79,12M 51S
66,80,12M 45S
66,81,12M 45S
66,84,12M 30S
69,84,12M 10S
69,87,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
72,87,11M 45S
73,87,11M 45S
75,87,11M 9S
75,89,10M 56S
77,89,10M 35S
77,92,10M 14S
80,92,10M 1S
80,95,9M 39S
83,95,9M 21S
83,98,9M 4S
86,98,8M 52S
86,101,8M 31S
87,101,8M 21S
88,101,8M 21S
88,104,7M 54S
88,106,7M 22S
90,106,7M 4S
91,106,6M 29S
92,106,5M 36S
94,106,4M 2S
96,106,3M 27S
96,108,3M 11S
96,111,2M 47S
97,111,2M 29S
98,111,2M 29S
101,111,1M 22S
103,111,50S
End of 4th quarter,NA,0S
