Utah,Detroit,time_rem
6-4,2-8,48M 0S
0,0,47M 38S
2,0,47M 25S
4,0,46M 55S
7,0,46M 21S
9,0,45M 30S
9,1,45M 4S
9,2,45M 4S
12,2,44M 49S
12,4,44M 29S
12,6,44M 5S
12,9,42M 59S
15,9,42M 40S
15,12,42M 16S
17,12,41M 38S
19,12,41M 0S
22,12,40M 39S
25,12,40M 3S
28,12,39M 22S
30,12,38M 38S
32,12,38M 7S
32,13,37M 51S
32,14,37M 51S
32,15,37M 51S
32,17,37M 24S
34,17,36M 19S
34,19,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
37,19,35M 12S
37,21,34M 57S
39,21,34M 42S
39,24,34M 28S
41,24,33M 55S
41,25,33M 44S
41,26,33M 44S
43,26,33M 22S
43,29,33M 5S
43,32,32M 36S
46,32,32M 19S
48,32,31M 52S
50,32,30M 54S
50,34,30M 28S
52,34,29M 58S
Jump ball: D. Mitchell vs. W. Ellington (R. Gobert gains possession),NA,27M 39S
52,36,27M 10S
54,36,26M 34S
54,38,26M 13S
55,38,24M 57S
55,40,24M 43S
57,40,24M 32S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,40,23M 39S
59,42,22M 17S
61,42,21M 56S
61,45,21M 38S
61,47,21M 8S
62,47,20M 49S
63,47,20M 49S
63,49,20M 25S
Jump ball: J. Jackson vs. D. Mitchell (M. Plumlee gains possession),NA,20M 7S
63,50,19M 57S
65,50,19M 45S
67,50,18M 17S
67,52,18M 5S
67,53,18M 5S
68,53,17M 16S
69,53,17M 16S
69,55,17M 3S
69,58,16M 38S
70,58,16M 29S
70,59,16M 14S
70,60,16M 14S
72,60,15M 17S
74,60,14M 41S
74,62,14M 19S
74,64,13M 50S
74,65,13M 33S
74,66,13M 33S
74,68,12M 55S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
77,68,11M 33S
77,69,11M 3S
77,70,11M 3S
78,70,11M 3S
78,73,9M 18S
80,73,8M 57S
81,73,7M 23S
82,73,7M 23S
82,74,7M 9S
85,74,6M 54S
85,76,6M 36S
85,79,6M 15S
87,79,6M 4S
87,80,5M 55S
87,81,5M 55S
90,81,4M 26S
91,81,3M 11S
91,83,2M 35S
91,86,1M 56S
92,86,1M 0S
93,86,1M 0S
94,86,41S
95,86,41S
96,86,32S
End of 4th quarter,NA,0S
