Utah,LA Lakers,time_rem
43-15,35-23,48M 0S
0,0,47M 46S
3,0,47M 22S
5,0,47M 2S
8,0,46M 32S
8,2,46M 6S
8,5,44M 25S
10,5,43M 58S
13,5,43M 25S
13,8,42M 50S
15,8,42M 28S
17,8,42M 12S
17,9,41M 53S
20,9,41M 13S
20,12,40M 55S
20,15,40M 27S
20,18,39M 53S
21,18,39M 35S
22,18,39M 35S
24,18,38M 15S
26,18,37M 40S
26,20,37M 21S
29,20,36M 55S
29,23,36M 16S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,23,35M 46S
31,25,35M 21S
34,25,34M 35S
34,28,34M 10S
34,31,32M 54S
36,31,32M 32S
38,31,32M 7S
38,33,31M 19S
40,33,29M 33S
42,33,29M 3S
43,33,29M 3S
45,33,28M 34S
45,35,28M 17S
47,35,27M 33S
47,38,27M 1S
50,38,26M 30S
50,40,25M 34S
50,42,25M 2S
52,42,24M 54S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,42,23M 41S
55,44,23M 11S
55,46,22M 31S
57,46,22M 7S
57,48,21M 55S
59,48,21M 2S
59,50,20M 45S
62,50,20M 30S
64,50,20M 4S
67,50,19M 30S
69,50,19M 8S
69,52,18M 9S
69,53,18M 9S
71,53,17M 52S
71,56,17M 36S
73,56,17M 19S
76,56,17M 4S
76,58,16M 51S
79,58,16M 28S
79,60,16M 5S
79,61,15M 53S
79,62,15M 53S
82,62,15M 31S
84,62,14M 57S
85,62,12M 41S
85,64,12M 26S
85,65,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
85,66,11M 36S
85,67,11M 36S
86,67,11M 20S
87,67,11M 20S
89,67,10M 30S
90,67,10M 30S
92,67,10M 0S
92,68,9M 43S
92,69,9M 43S
92,72,9M 14S
92,75,8M 42S
92,77,8M 6S
94,77,7M 51S
95,77,7M 51S
95,79,7M 36S
96,79,6M 52S
97,79,6M 52S
97,81,6M 34S
100,81,6M 14S
102,81,5M 23S
102,83,5M 9S
105,83,4M 50S
105,84,3M 51S
105,85,3M 51S
107,85,3M 29S
107,86,3M 9S
109,86,2M 52S
109,88,2M 42S
109,89,2M 8S
109,90,1M 47S
109,91,1M 47S
109,92,1M 47S
109,94,1M 27S
109,95,1M 14S
111,95,53S
111,97,16S
End of 4th quarter,NA,0S
