Utah,Miami,time_rem
26-7,16-17,48M 0S
0,0,47M 43S
0,2,47M 9S
0,4,46M 30S
1,4,46M 7S
2,4,46M 7S
2,6,45M 33S
2,8,45M 8S
4,8,44M 54S
4,10,44M 16S
6,10,44M 6S
6,12,43M 52S
9,12,43M 36S
9,15,42M 29S
12,15,42M 13S
12,17,41M 49S
14,17,41M 33S
14,19,41M 14S
16,19,40M 54S
18,19,40M 7S
20,19,39M 44S
20,22,39M 31S
22,22,39M 20S
22,24,39M 10S
23,24,38M 50S
24,24,38M 50S
27,24,36M 56S
27,26,36M 45S
30,26,36M 30S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,27,35M 15S
30,28,35M 15S
33,28,34M 55S
33,31,34M 24S
34,31,34M 7S
35,31,34M 7S
37,31,33M 10S
37,34,32M 48S
40,34,32M 30S
40,37,32M 15S
40,40,30M 49S
40,41,30M 27S
40,42,30M 27S
42,42,30M 17S
42,45,29M 53S
44,45,29M 42S
44,47,29M 30S
46,47,28M 55S
46,48,28M 35S
46,49,28M 35S
48,49,28M 8S
51,49,27M 24S
51,51,27M 9S
53,51,25M 8S
53,53,24M 56S
53,54,24M 37S
53,55,24M 37S
53,57,24M 5S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,57,23M 25S
56,60,23M 9S
56,62,22M 48S
56,63,22M 48S
56,65,22M 20S
59,65,22M 4S
59,67,21M 48S
62,67,21M 36S
62,69,21M 19S
63,69,21M 8S
64,69,21M 8S
64,71,20M 55S
66,71,20M 40S
67,71,20M 40S
67,73,20M 32S
67,74,20M 32S
69,74,20M 18S
69,75,20M 5S
69,76,20M 5S
69,77,20M 5S
72,77,19M 55S
75,77,19M 12S
77,77,18M 46S
78,77,18M 46S
78,79,18M 5S
81,79,17M 41S
81,80,17M 23S
83,80,16M 43S
84,80,16M 43S
84,82,16M 21S
84,85,16M 3S
86,85,15M 45S
87,85,15M 30S
88,85,15M 30S
88,87,15M 16S
90,87,14M 53S
90,89,14M 39S
90,90,14M 27S
90,91,14M 27S
91,91,13M 52S
92,91,13M 52S
94,91,13M 27S
94,93,13M 10S
94,96,12M 32S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
94,98,11M 20S
96,98,10M 32S
96,101,10M 9S
98,101,9M 35S
98,103,9M 21S
100,103,9M 10S
103,103,8M 20S
103,106,7M 55S
103,108,7M 31S
104,108,7M 20S
105,108,7M 20S
105,111,7M 6S
107,111,6M 44S
107,114,6M 35S
108,114,4M 22S
108,116,4M 5S
Jump ball: M. Conley vs. J. Butler (D. Mitchell gains possession),NA,3M 44S
111,116,3M 39S
113,116,3M 12S
114,116,2M 30S
115,116,2M 30S
115,117,2M 17S
115,118,2M 17S
116,118,1M 28S
116,120,33S
116,121,15S
116,122,8S
116,123,8S
116,124,2S
End of 4th quarter,NA,0S
