Utah,Oklahoma City,time_rem
2-1,1-1,48M 0S
0,0,47M 48S
0,3,47M 26S
2,3,46M 51S
2,6,46M 28S
4,6,46M 8S
4,9,45M 47S
4,11,45M 2S
4,14,44M 36S
5,14,44M 3S
5,17,42M 56S
7,17,42M 41S
9,17,42M 14S
11,17,40M 24S
13,17,39M 43S
13,19,39M 30S
15,19,39M 15S
15,20,38M 30S
15,22,37M 58S
18,22,37M 25S
20,22,37M 6S
20,24,36M 53S
22,24,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,24,35M 49S
27,24,34M 48S
27,26,34M 8S
29,26,33M 53S
29,27,33M 35S
29,29,33M 9S
30,29,32M 38S
31,29,32M 38S
33,29,32M 6S
33,32,31M 51S
33,35,31M 9S
33,37,30M 45S
33,38,30M 9S
33,39,30M 9S
35,39,30M 0S
37,39,29M 37S
37,40,29M 37S
37,43,29M 23S
40,43,29M 2S
40,46,28M 50S
42,46,28M 39S
42,48,27M 56S
44,48,26M 47S
44,51,26M 5S
44,52,25M 35S
46,52,25M 24S
49,52,24M 54S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
49,54,23M 34S
51,54,23M 21S
51,55,23M 20S
51,57,22M 35S
54,57,22M 24S
54,58,22M 7S
54,59,22M 7S
57,59,21M 51S
60,59,21M 23S
63,59,21M 1S
63,60,20M 50S
63,61,20M 50S
66,61,20M 40S
66,63,20M 24S
66,65,19M 51S
68,65,19M 33S
68,67,18M 28S
68,69,18M 3S
71,69,17M 20S
71,71,17M 7S
71,72,17M 2S
74,72,16M 46S
74,73,16M 34S
74,74,16M 34S
74,76,15M 52S
75,76,15M 35S
76,76,15M 35S
76,78,15M 15S
76,80,14M 46S
78,80,14M 28S
80,80,14M 1S
82,80,13M 22S
82,82,13M 8S
83,82,12M 49S
84,82,12M 49S
84,85,12M 34S
84,87,12M 18S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,87,10M 57S
86,90,10M 46S
86,92,10M 20S
86,95,9M 51S
88,95,9M 30S
91,95,8M 50S
93,95,8M 14S
93,98,7M 57S
93,100,7M 31S
94,100,7M 19S
95,100,7M 19S
98,100,6M 43S
100,100,5M 37S
102,100,5M 10S
104,100,4M 33S
104,102,4M 10S
105,102,3M 58S
106,102,3M 58S
106,104,3M 36S
108,104,2M 43S
108,106,2M 26S
Jump ball: A. Horford vs. M. Conley (S. Gilgeous,Alexander gains possession),1M 32S
108,109,1M 4S
110,109,7S
End of 4th quarter,NA,0S
