Washington,Dallas,time_rem
29-35,36-27,48M 0S
0,0,47M 45S
2,0,47M 34S
2,2,47M 11S
2,3,46M 56S
2,4,46M 56S
2,6,46M 15S
4,6,46M 4S
4,8,45M 51S
4,11,45M 25S
6,11,45M 9S
7,11,45M 9S
7,14,44M 43S
7,16,44M 24S
7,19,43M 48S
8,19,43M 13S
8,22,42M 51S
10,22,42M 40S
11,22,42M 11S
12,22,41M 23S
13,22,40M 51S
14,22,40M 51S
14,24,40M 8S
16,24,39M 58S
16,27,39M 42S
16,30,38M 50S
19,30,38M 38S
19,32,38M 19S
21,32,37M 43S
21,34,37M 33S
22,34,37M 14S
22,36,36M 53S
24,36,36M 47S
24,37,36M 43S
24,38,36M 43S
26,38,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,41,35M 38S
28,41,35M 15S
28,43,34M 57S
28,46,34M 27S
30,46,34M 14S
32,46,33M 38S
32,47,33M 27S
34,47,33M 4S
34,50,32M 49S
34,52,32M 5S
36,52,31M 54S
39,52,31M 28S
39,54,31M 4S
41,54,30M 7S
42,54,30M 7S
44,54,29M 41S
44,55,29M 22S
44,56,29M 22S
44,58,28M 52S
46,58,28M 37S
46,61,28M 22S
48,61,28M 15S
49,61,28M 15S
49,62,28M 3S
49,65,27M 38S
50,65,27M 12S
52,65,26M 49S
53,65,26M 33S
53,66,26M 13S
56,66,25M 47S
58,66,25M 23S
61,66,24M 55S
61,69,24M 39S
63,69,24M 29S
65,69,24M 2S
65,70,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,72,23M 9S
67,72,22M 59S
67,74,22M 45S
70,74,22M 18S
70,76,21M 56S
72,76,21M 43S
72,78,21M 29S
74,78,21M 4S
76,78,20M 33S
76,79,19M 37S
78,79,19M 25S
78,82,18M 59S
79,82,18M 40S
80,82,18M 40S
82,82,17M 23S
82,84,17M 0S
84,84,16M 44S
84,86,16M 33S
86,86,15M 49S
88,86,15M 22S
89,86,15M 22S
89,88,15M 2S
91,88,14M 43S
93,88,13M 40S
94,88,13M 24S
95,88,13M 24S
95,89,12M 41S
97,89,12M 35S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
97,91,11M 28S
97,93,11M 0S
99,93,10M 46S
99,95,10M 12S
101,95,9M 46S
101,97,9M 14S
103,97,8M 57S
103,100,8M 30S
105,100,8M 2S
105,103,7M 37S
105,105,7M 8S
107,105,6M 49S
107,107,6M 29S
109,107,6M 12S
109,109,5M 51S
109,111,5M 19S
110,111,5M 3S
111,111,5M 3S
112,111,4M 39S
113,111,4M 39S
113,112,4M 28S
113,113,4M 28S
113,116,3M 17S
115,116,2M 58S
118,116,2M 27S
118,118,2M 2S
120,118,1M 25S
120,120,1M 10S
121,120,50S
122,120,50S
122,122,34S
123,122,26S
124,122,26S
124,125,9S
End of 4th quarter,NA,0S
