Washington,Golden State,time_rem
19-32,24-28,48M 0S
2,0,47M 46S
4,0,47M 5S
6,0,46M 24S
6,2,46M 14S
6,5,45M 50S
7,5,45M 33S
8,5,45M 33S
9,5,45M 4S
10,5,45M 4S
12,5,44M 38S
12,7,44M 23S
14,7,44M 9S
16,7,43M 53S
16,9,43M 43S
16,11,43M 15S
16,13,42M 58S
18,13,42M 26S
18,15,41M 18S
18,18,40M 52S
20,18,40M 36S
22,18,39M 55S
23,18,39M 55S
25,18,39M 32S
25,21,38M 47S
25,23,38M 15S
27,23,37M 50S
29,23,36M 29S
32,23,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,26,35M 24S
34,26,34M 33S
36,26,34M 7S
38,26,33M 21S
38,29,32M 57S
38,31,32M 13S
38,34,31M 33S
40,34,31M 16S
40,36,30M 56S
41,36,30M 40S
42,36,30M 40S
42,38,30M 22S
44,38,30M 7S
44,40,29M 52S
46,40,29M 18S
47,40,28M 46S
47,42,28M 23S
49,42,28M 1S
49,44,26M 52S
51,44,26M 32S
51,46,26M 15S
53,46,26M 0S
53,47,25M 25S
54,47,25M 19S
55,47,25M 19S
57,47,25M 2S
57,50,24M 49S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,52,23M 16S
59,52,22M 59S
60,52,22M 59S
60,53,22M 50S
60,54,22M 50S
62,54,22M 12S
62,57,21M 52S
62,58,21M 38S
62,59,21M 38S
64,59,21M 29S
64,61,21M 16S
66,61,21M 0S
67,61,21M 0S
70,61,20M 37S
70,64,20M 22S
70,66,19M 59S
70,67,19M 59S
70,70,18M 49S
70,73,17M 50S
70,75,17M 22S
72,75,16M 56S
72,76,16M 42S
74,76,16M 23S
74,78,15M 44S
76,78,15M 23S
79,78,14M 51S
79,79,14M 1S
81,79,13M 48S
83,79,13M 22S
85,79,12M 10S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
85,81,11M 29S
85,83,10M 58S
85,85,10M 26S
87,85,10M 11S
87,87,9M 38S
87,89,8M 52S
87,90,8M 17S
87,91,8M 17S
89,91,7M 51S
89,93,7M 11S
90,93,6M 53S
91,93,6M 53S
91,95,6M 39S
94,95,5M 0S
96,95,4M 28S
96,97,4M 8S
98,97,3M 45S
99,97,3M 3S
100,97,3M 3S
102,97,2M 42S
102,98,2M 30S
102,99,2M 30S
104,99,2M 17S
104,101,2M 1S
104,103,1M 9S
Jump ball: D. Green vs. R. Hachimura (D. Bertāns gains possession),NA,46S
104,105,33S
104,106,19S
104,107,19S
107,107,6S
108,107,6S
109,107,1S
110,107,1S
End of 4th quarter,NA,0S
