Washington,LA Clippers,time_rem
11-18,23-10,48M 0S
0,2,47M 40S
0,4,46M 57S
0,6,46M 5S
2,6,45M 53S
2,9,45M 8S
4,9,44M 38S
5,9,44M 38S
5,11,44M 24S
7,11,43M 57S
9,11,43M 31S
9,14,43M 16S
9,16,42M 40S
9,18,42M 2S
12,18,41M 50S
12,20,41M 28S
12,23,40M 38S
14,23,40M 26S
17,23,40M 5S
19,23,39M 21S
19,25,38M 49S
19,27,38M 22S
20,27,38M 8S
20,29,37M 48S
20,31,37M 23S
20,33,36M 55S
20,34,36M 30S
20,36,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
20,38,35M 44S
22,38,35M 30S
22,41,34M 25S
22,42,34M 25S
22,44,33M 23S
24,44,32M 55S
25,44,32M 55S
25,47,32M 43S
25,49,32M 12S
27,49,32M 5S
28,49,32M 5S
28,51,31M 57S
31,51,31M 48S
31,52,31M 35S
31,53,31M 9S
31,55,31M 2S
33,55,30M 49S
35,55,30M 25S
35,57,30M 8S
37,57,29M 55S
38,57,29M 55S
40,57,28M 59S
40,59,28M 37S
42,59,28M 21S
42,61,28M 1S
42,64,27M 39S
45,64,26M 54S
47,64,26M 38S
47,67,26M 22S
50,67,26M 10S
50,69,25M 55S
52,69,25M 7S
55,69,24M 29S
55,72,24M 6S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,72,23M 45S
57,74,23M 32S
57,75,23M 32S
60,75,23M 14S
60,78,22M 52S
61,78,22M 37S
62,78,22M 37S
62,80,22M 20S
65,80,22M 5S
65,82,21M 40S
67,82,21M 22S
67,85,21M 4S
69,85,20M 40S
69,87,19M 53S
71,87,19M 45S
72,87,19M 45S
72,89,18M 36S
74,89,18M 10S
74,92,17M 53S
76,92,17M 41S
77,92,17M 41S
77,93,17M 31S
77,95,16M 51S
80,95,16M 33S
80,96,16M 2S
80,97,16M 2S
82,97,15M 47S
85,97,15M 5S
87,97,14M 23S
90,97,13M 44S
90,99,13M 27S
92,99,12M 38S
94,99,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
94,102,11M 51S
94,104,11M 24S
96,104,10M 32S
96,106,10M 19S
98,106,9M 33S
98,109,9M 14S
100,109,8M 56S
100,111,8M 42S
Jump ball: R. Lopez vs. I. Zubac (R. Westbrook gains possession),NA,8M 15S
102,111,8M 9S
102,113,7M 52S
102,116,6M 39S
102,119,6M 5S
104,119,5M 52S
104,121,5M 31S
106,121,5M 12S
106,123,4M 52S
106,126,3M 58S
108,126,3M 12S
108,129,2M 34S
110,129,2M 12S
110,132,1M 49S
112,132,1M 13S
113,132,1M 13S
114,132,55S
114,135,33S
116,135,21S
End of 4th quarter,NA,0S
