Washington,San Antonio,time_rem
3-9,9-8,48M 0S
0,0,47M 46S
3,0,47M 38S
3,2,47M 21S
5,2,47M 1S
8,2,46M 44S
8,3,45M 39S
8,4,45M 39S
8,6,44M 57S
8,7,44M 57S
10,7,44M 41S
12,7,43M 59S
12,9,43M 45S
15,9,43M 23S
15,11,42M 11S
17,11,41M 56S
19,11,41M 17S
21,11,40M 2S
21,13,39M 39S
21,15,39M 7S
21,17,38M 45S
23,17,38M 22S
23,19,38M 4S
26,19,37M 53S
26,21,37M 25S
26,23,36M 59S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,26,35M 32S
26,29,33M 54S
29,29,32M 37S
29,31,32M 16S
29,33,32M 0S
31,33,31M 46S
34,33,30M 44S
34,35,30M 34S
35,35,30M 25S
35,38,29M 39S
35,40,29M 16S
37,40,28M 44S
39,40,28M 19S
41,40,27M 38S
41,42,27M 12S
41,44,26M 37S
44,44,26M 23S
44,46,25M 50S
44,47,24M 44S
44,48,24M 44S
46,48,24M 34S
47,48,24M 12S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
49,48,23M 46S
49,50,23M 22S
51,50,22M 52S
52,50,22M 52S
52,52,22M 3S
52,54,21M 37S
54,54,21M 25S
54,57,21M 6S
54,60,20M 39S
56,60,20M 20S
56,61,20M 8S
59,61,19M 49S
Jump ball: R. Lopez vs. L. Aldridge (R. Westbrook gains possession),NA,19M 23S
61,61,19M 1S
61,64,18M 38S
63,64,18M 23S
64,64,18M 23S
64,67,17M 31S
64,69,16M 58S
65,69,16M 40S
66,69,16M 40S
66,72,16M 20S
69,72,15M 48S
69,74,15M 7S
71,74,14M 58S
71,76,14M 43S
71,79,14M 19S
74,79,14M 3S
74,81,13M 45S
77,81,13M 21S
77,84,12M 0S
77,85,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
77,86,11M 45S
77,87,11M 45S
80,87,11M 25S
82,87,11M 0S
82,89,10M 11S
82,91,9M 34S
82,92,9M 34S
84,92,9M 20S
84,94,9M 8S
85,94,8M 57S
86,94,8M 57S
86,97,8M 46S
88,97,8M 27S
91,97,8M 5S
91,99,7M 46S
93,99,7M 29S
93,101,7M 18S
Jump ball: R. Gay vs. A. Len (L. Walker gains possession),NA,6M 36S
96,101,5M 40S
96,104,5M 23S
97,104,4M 57S
97,106,4M 45S
97,108,4M 29S
97,110,4M 10S
97,113,3M 45S
97,116,2M 56S
99,116,1M 30S
99,118,1M 14S
99,121,39S
101,121,27S
End of 4th quarter,NA,0S
